ROI,Subject,Layer,r,p-value,split-half,permutation test (%)
psts,1,1,0.003108597723,0.661,0.3256031112,66.1
psts,2,1,0.02069375339,0.0035,0.555241794,99.28
psts,3,1,0.03037784768,0,0.4314308451,100
psts,4,1,0.001366533279,0.8471,0.4544228406,58.48
psts,1,2,0.003618392282,0.6098,0.3256031112,72.28
psts,2,2,0.02512616575,0.0004,0.555241794,99.96
psts,3,2,0.03373009374,0,0.4314308451,100
psts,4,2,0.01170788478,0.0986,0.4544228406,94.96
psts,1,3,8.82E-05,0.9901,0.3256031112,53.1
psts,2,3,0.03486473925,0,0.555241794,99.98
psts,3,3,0.03677364139,0,0.4314308451,99.96
psts,4,3,0.01432389145,0.0433,0.4544228406,95.76
psts,1,4,0.002457413926,0.7289,0.3256031112,65.2
psts,2,4,0.03503540291,0,0.555241794,100
psts,3,4,0.04046014236,0,0.4314308451,100
psts,4,4,0.02140056337,0.0025,0.4544228406,99.68
psts,1,5,0.01648706618,0.02,0.3256031112,96.76
psts,2,5,0.05257739499,0,0.555241794,100
psts,3,5,0.06259277749,0,0.4314308451,100
psts,4,5,0.03593839335,0,0.4544228406,99.98
sts,1,1,0.02712445579,0.0001,0.3546242096,99.88
sts,2,1,0.008352789007,0.2387,0.4342985762,84.02
sts,3,1,0.03764496492,0,0.5067174198,100
sts,4,1,0.01025492627,0.148,0.2951938743,90.08
sts,1,2,0.02882786283,0,0.3546242096,99.98
sts,2,2,0.01162690867,0.101,0.4342985762,95.9
sts,3,2,0.04110359149,0,0.5067174198,100
sts,4,2,0.01403062947,0.0478,0.2951938743,97.98
sts,1,3,0.04276208954,0,0.3546242096,100
sts,2,3,0.03310705332,0,0.4342985762,99.92
sts,3,3,0.06238804782,0,0.5067174198,100
sts,4,3,0.0218642113,0.002,0.2951938743,98.34
sts,1,4,0.04505470468,0,0.3546242096,100
sts,2,4,0.02440716558,0.0006,0.4342985762,99.94
sts,3,4,0.06080915523,0,0.5067174198,100
sts,4,4,0.01493931605,0.0351,0.2951938743,97.7
sts,1,5,0.06587536845,0,0.3546242096,100
sts,2,5,0.05013794737,0,0.4342985762,100
sts,3,5,0.09588979156,0,0.5067174198,100
sts,4,5,0.03674887299,0,0.2951938743,100
asts,1,1,0.01020074686,0.1502,0.2197111238,89.94
asts,2,1,0.008461291456,0.2327,0.2492734857,84.42
asts,3,1,0.01693970473,0.0169,0.2701964354,98.08
asts,4,1,-0.006802302229,0.3373,0.2419685696,21.86
asts,1,2,0.01160026307,0.1018,0.2197111238,95.84
asts,2,2,0.008512508675,0.2298,0.2492734857,90.44
asts,3,2,0.02658020127,0.0002,0.2701964354,99.98
asts,4,2,-0.0004013981289,0.9548,0.2419685696,53.54
asts,1,3,0.01194534911,0.092,0.2197111238,89.32
asts,2,3,0.01849807023,0.0091,0.2492734857,96.34
asts,3,3,0.03163118069,0,0.2701964354,99.92
asts,4,3,0.008171545871,0.249,0.2419685696,84.52
asts,1,4,0.01111584573,0.1169,0.2197111238,93.78
asts,2,4,0.01413680161,0.0461,0.2492734857,96.96
asts,3,4,0.03309082523,0,0.2701964354,100
asts,4,4,0.004086403936,0.5643,0.2419685696,77.92
asts,1,5,0.02518019329,0.0004,0.2197111238,99.84
asts,2,5,0.03429136059,0,0.2492734857,99.98
asts,3,5,0.04862063555,0,0.2701964354,100
asts,4,5,0.0235623984,0.0009,0.2419685696,99.56
