,score_set,roi_name,subj_id,model_layer,model_layer_index,score,alpha
84,test,evc,1,Conv2d-5,8,0.024403292019773967,100000.0
85,test,evc,1,ReLU-1,1,0.18855386779956018,100000.0
86,test,evc,1,ReLU-2,3,0.23464202831466752,10000.0
87,test,evc,1,ReLU-3,5,0.12524425076812573,1000.0
88,test,evc,1,ReLU-4,7,0.0862069034402651,1000.0
89,test,evc,1,ReLU-5,9,-0.08072360408218948,10000.0
90,test,evc,2,Conv2d-1,0,0.07830172178252962,100000.0
91,test,evc,2,Conv2d-2,2,0.18147504667673178,100000.0
92,test,evc,2,Conv2d-3,4,0.24105418167505716,100000.0
93,test,evc,2,Conv2d-4,6,0.21102972530552128,100000.0
94,test,evc,2,Conv2d-5,8,0.12947187618651576,100000.0
95,test,evc,2,ReLU-1,1,0.2401477926871624,100000.0
96,test,evc,2,ReLU-2,3,0.3839340301348293,10000.0
97,test,evc,2,ReLU-3,5,0.2780735921403806,1000.0
98,test,evc,2,ReLU-4,7,0.25671929618050504,1000.0
99,test,evc,2,ReLU-5,9,0.04286487094059099,10000.0
100,test,evc,3,Conv2d-1,0,0.05833975603307899,100000.0
101,test,evc,3,Conv2d-2,2,0.1661262680980991,100000.0
102,test,evc,3,Conv2d-3,4,0.21543214997951116,100000.0
103,test,evc,3,Conv2d-4,6,0.17410857525558568,100000.0
104,test,evc,3,Conv2d-5,8,0.12040378360000845,100000.0
105,test,evc,3,ReLU-1,1,0.22679099634387204,100000.0
106,test,evc,3,ReLU-2,3,0.3049838270355727,10000.0
107,test,evc,3,ReLU-3,5,0.1921233219040086,1000.0
108,test,evc,3,ReLU-4,7,0.17274769707682977,1000.0
109,test,evc,3,ReLU-5,9,0.021502270713791446,10000.0
110,test,evc,4,Conv2d-1,0,0.08337508773025597,100000.0
111,test,evc,4,Conv2d-2,2,0.23072459912757154,100000.0
112,test,evc,4,Conv2d-3,4,0.25549374417370585,100000.0
113,test,evc,4,Conv2d-4,6,0.24838180713137775,100000.0
114,test,evc,4,Conv2d-5,8,0.15144944733257665,100000.0
115,test,evc,4,ReLU-1,1,0.31279285216040537,100000.0
116,test,evc,4,ReLU-2,3,0.33863138145551497,10000.0
117,test,evc,4,ReLU-3,5,0.27415085267297384,1000.0
118,test,evc,4,ReLU-4,7,0.2369937693975373,1000.0
119,test,evc,4,ReLU-5,9,0.030119545788966685,10000.0
120,test,face,1,Conv2d-1,0,0.05803445537449046,100000.0
121,test,face,1,Conv2d-2,2,0.015568674757595186,100000.0
122,test,face,1,Conv2d-3,4,0.04909794141926345,100000.0
123,test,face,1,Conv2d-4,6,0.13071737967505384,100000.0
124,test,face,1,Conv2d-5,8,0.11245694405758773,100000.0
125,test,face,1,ReLU-1,1,0.06657833226095174,100000.0
126,test,face,1,ReLU-2,3,0.03377233589242485,10000.0
127,test,face,1,ReLU-3,5,0.132818141738209,1000.0
128,test,face,1,ReLU-4,7,0.10610332515845182,1000.0
129,test,face,1,ReLU-5,9,0.15086498270934803,10000.0
130,test,face,2,Conv2d-1,0,0.02414639077316038,100000.0
131,test,face,2,Conv2d-2,2,-0.006017270801663939,100000.0
132,test,face,2,Conv2d-3,4,0.01662880394660033,100000.0
133,test,face,2,Conv2d-4,6,0.09517626527227135,100000.0
134,test,face,2,Conv2d-5,8,-0.009746336760023502,100000.0
135,test,face,2,ReLU-1,1,0.018232235500311215,100000.0
136,test,face,2,ReLU-2,3,-0.05896438154768626,10000.0
137,test,face,2,ReLU-3,5,0.06230878597256584,1000.0
138,test,face,2,ReLU-4,7,-0.0010089734886784163,1000.0
139,test,face,2,ReLU-5,9,0.1030681914588693,10000.0
140,test,face,3,Conv2d-1,0,0.14459950434855062,100000.0
141,test,face,3,Conv2d-2,2,0.14970278487536076,100000.0
142,test,face,3,Conv2d-3,4,0.15344781201911145,100000.0
143,test,face,3,Conv2d-4,6,0.21985572979877704,100000.0
144,test,face,3,Conv2d-5,8,0.18086566925273104,100000.0
145,test,face,3,ReLU-1,1,0.19123023896134964,100000.0
146,test,face,3,ReLU-2,3,0.12327066738970771,10000.0
147,test,face,3,ReLU-3,5,0.1923146083156208,1000.0
148,test,face,3,ReLU-4,7,0.20134735466489792,1000.0
149,test,face,3,ReLU-5,9,0.2627321518633964,10000.0
150,test,face,4,Conv2d-1,0,0.0717054129583736,100000.0
151,test,face,4,Conv2d-2,2,0.042078251532047486,100000.0
152,test,face,4,Conv2d-3,4,0.07826708358267417,100000.0
153,test,face,4,Conv2d-4,6,0.07418313411985328,100000.0
154,test,face,4,Conv2d-5,8,0.06364543410087535,100000.0
155,test,face,4,ReLU-1,1,0.06993550158821635,100000.0
156,test,face,4,ReLU-2,3,0.009562641520550724,10000.0
157,test,face,4,ReLU-3,5,0.08690034513028963,1000.0
158,test,face,4,ReLU-4,7,0.032249337384487174,1000.0
159,test,face,4,ReLU-5,9,0.08401620040087558,10000.0
160,test,ffa,1,Conv2d-1,0,0.12251115569779802,100000.0
161,test,ffa,1,Conv2d-2,2,0.123814880088181,100000.0
162,test,ffa,1,Conv2d-3,4,0.1822178031699086,100000.0
163,test,ffa,1,Conv2d-4,6,0.2320348526340318,100000.0
164,test,ffa,1,Conv2d-5,8,0.1341404976263679,100000.0
165,test,ffa,1,ReLU-1,1,0.16159187031486297,100000.0
166,test,ffa,1,ReLU-2,3,0.14757058595276606,10000.0
167,test,ffa,1,ReLU-3,5,0.21371466371954542,1000.0
168,test,ffa,1,ReLU-4,7,0.19548399601627828,1000.0
169,test,ffa,1,ReLU-5,9,0.19646503743052227,10000.0
170,test,ffa,2,Conv2d-1,0,0.11897012929394642,100000.0
171,test,ffa,2,Conv2d-2,2,0.12922551458196652,100000.0
172,test,ffa,2,Conv2d-3,4,0.13119816233956788,100000.0
173,test,ffa,2,Conv2d-4,6,0.2211849283624221,100000.0
174,test,ffa,2,Conv2d-5,8,0.18594187240736626,100000.0
175,test,ffa,2,ReLU-1,1,0.17636171707660978,100000.0
176,test,ffa,2,ReLU-2,3,0.1297518139348583,10000.0
177,test,ffa,2,ReLU-3,5,0.15464700986333996,1000.0
178,test,ffa,2,ReLU-4,7,0.22219177773897622,1000.0
179,test,ffa,2,ReLU-5,9,0.19559959828993803,10000.0
180,test,ffa,3,Conv2d-1,0,0.16981527937068627,100000.0
181,test,ffa,3,Conv2d-2,2,0.21872915130215026,100000.0
182,test,ffa,3,Conv2d-3,4,0.2376273667571648,100000.0
183,test,ffa,3,Conv2d-4,6,0.2917246184721641,100000.0
184,test,ffa,3,Conv2d-5,8,0.2696489538052394,100000.0
185,test,ffa,3,ReLU-1,1,0.22207483019430443,100000.0
186,test,ffa,3,ReLU-2,3,0.22448156049414436,10000.0
187,test,ffa,3,ReLU-3,5,0.23404086918162387,1000.0
188,test,ffa,3,ReLU-4,7,0.3354176706151972,1000.0
189,test,ffa,3,ReLU-5,9,0.30026067154563424,10000.0
190,test,ffa,4,Conv2d-1,0,0.052658504597248745,100000.0
191,test,ffa,4,Conv2d-2,2,0.028747895327294704,100000.0
192,test,ffa,4,Conv2d-3,4,0.069658841041437,100000.0
193,test,ffa,4,Conv2d-4,6,0.08297648291790295,100000.0
194,test,ffa,4,Conv2d-5,8,0.046905291277093336,100000.0
195,test,ffa,4,ReLU-1,1,0.05131306163326269,100000.0
196,test,ffa,4,ReLU-2,3,0.008767525663510042,10000.0
197,test,ffa,4,ReLU-3,5,0.05223130013236506,1000.0
198,test,ffa,4,ReLU-4,7,0.06889320988364545,1000.0
199,test,ffa,4,ReLU-5,9,0.06724739217823526,10000.0
200,test,loc,1,Conv2d-1,0,0.05053253134614215,100000.0
201,test,loc,1,Conv2d-2,2,0.0858472356261143,100000.0
202,test,loc,1,Conv2d-3,4,0.047862299879873865,100000.0
203,test,loc,1,Conv2d-4,6,0.09427663804130564,100000.0
204,test,loc,1,Conv2d-5,8,0.1190810838079818,100000.0
205,test,loc,1,ReLU-1,1,0.06353905654272683,100000.0
206,test,loc,1,ReLU-2,3,0.06873846325798089,10000.0
207,test,loc,1,ReLU-3,5,0.07899102651132159,1000.0
208,test,loc,1,ReLU-4,7,0.11749564146099974,1000.0
209,test,loc,1,ReLU-5,9,0.04246081929786209,10000.0
210,test,loc,2,Conv2d-1,0,0.0076582485658766184,100000.0
211,test,loc,2,Conv2d-2,2,-0.003846347292079452,100000.0
212,test,loc,2,Conv2d-3,4,0.005733959760971645,100000.0
213,test,loc,2,Conv2d-4,6,0.09883897801379586,100000.0
214,test,loc,2,Conv2d-5,8,0.10068154919083341,100000.0
215,test,loc,2,ReLU-1,1,0.0491963130976673,100000.0
216,test,loc,2,ReLU-2,3,-0.0028259693442575116,10000.0
217,test,loc,2,ReLU-3,5,0.030120891059978727,1000.0
218,test,loc,2,ReLU-4,7,0.08089950079572023,1000.0
219,test,loc,2,ReLU-5,9,0.11947075217718332,10000.0
220,test,loc,3,Conv2d-1,0,0.04564584450968222,100000.0
221,test,loc,3,Conv2d-2,2,0.047522355964020074,100000.0
222,test,loc,3,Conv2d-3,4,0.021755813840284726,100000.0
223,test,loc,3,Conv2d-4,6,0.09469378837546767,100000.0
224,test,loc,3,Conv2d-5,8,0.06793951894170666,100000.0
225,test,loc,3,ReLU-1,1,0.060072500498470946,100000.0
226,test,loc,3,ReLU-2,3,0.06549618816700123,10000.0
227,test,loc,3,ReLU-3,5,0.07165934501232554,1000.0
228,test,loc,3,ReLU-4,7,0.1366970031180196,1000.0
229,test,loc,3,ReLU-5,9,0.16720289455793624,10000.0
230,test,loc,4,Conv2d-1,0,0.07271434093036364,100000.0
231,test,loc,4,Conv2d-2,2,0.06130783353586152,100000.0
232,test,loc,4,Conv2d-3,4,0.1079540792245777,100000.0
233,test,loc,4,Conv2d-4,6,0.11875435490398698,100000.0
234,test,loc,4,Conv2d-5,8,0.12175156308733123,100000.0
235,test,loc,4,ReLU-1,1,0.06402801703891943,100000.0
236,test,loc,4,ReLU-2,3,0.09206944278849394,10000.0
237,test,loc,4,ReLU-3,5,0.06275472308342187,1000.0
238,test,loc,4,ReLU-4,7,0.10637103914726002,1000.0
239,test,loc,4,ReLU-5,9,0.0823676415793431,10000.0
240,test,mt,1,Conv2d-1,0,0.056908675948615206,100000.0
241,test,mt,1,Conv2d-2,2,0.041771549970938855,100000.0
242,test,mt,1,Conv2d-3,4,0.05590619111673552,100000.0
243,test,mt,1,Conv2d-4,6,0.04109301246765312,100000.0
244,test,mt,1,Conv2d-5,8,0.14690854572031237,100000.0
245,test,mt,1,ReLU-1,1,0.07220494344108945,100000.0
246,test,mt,1,ReLU-2,3,0.08947917908629548,10000.0
247,test,mt,1,ReLU-3,5,0.055406038572611824,1000.0
248,test,mt,1,ReLU-4,7,0.10669378786972669,1000.0
249,test,mt,1,ReLU-5,9,0.007054029699892031,10000.0
250,test,mt,2,Conv2d-1,0,-0.0357548354843551,100000.0
251,test,mt,2,Conv2d-2,2,0.012801877108228698,100000.0
252,test,mt,2,Conv2d-3,4,0.03829336188409757,100000.0
253,test,mt,2,Conv2d-4,6,0.08169675593711465,100000.0
254,test,mt,2,Conv2d-5,8,0.09006316831300107,100000.0
255,test,mt,2,ReLU-1,1,0.004572525595867188,100000.0
256,test,mt,2,ReLU-2,3,-0.004138291331334051,10000.0
257,test,mt,2,ReLU-3,5,0.03648400777475612,1000.0
258,test,mt,2,ReLU-4,7,0.08077501771041702,1000.0
259,test,mt,2,ReLU-5,9,0.0679671930882403,10000.0
260,test,mt,3,Conv2d-1,0,0.08235045650077562,100000.0
261,test,mt,3,Conv2d-2,2,0.19157729359540998,100000.0
262,test,mt,3,Conv2d-3,4,0.19094001444143377,100000.0
263,test,mt,3,Conv2d-4,6,0.16160670369786428,100000.0
264,test,mt,3,Conv2d-5,8,0.12882326337713348,100000.0
265,test,mt,3,ReLU-1,1,0.18867436564592546,100000.0
266,test,mt,3,ReLU-2,3,0.2752311862142089,10000.0
267,test,mt,3,ReLU-3,5,0.19015744601815585,1000.0
268,test,mt,3,ReLU-4,7,0.19554423482464128,1000.0
269,test,mt,3,ReLU-5,9,0.055701745324772324,10000.0
270,test,mt,4,Conv2d-1,0,0.1126065270678263,100000.0
271,test,mt,4,Conv2d-2,2,0.29126385809312644,100000.0
272,test,mt,4,Conv2d-3,4,0.31842500120429573,100000.0
273,test,mt,4,Conv2d-4,6,0.27290039798022225,100000.0
274,test,mt,4,Conv2d-5,8,0.1928382272413081,100000.0
275,test,mt,4,ReLU-1,1,0.3213082760592208,100000.0
276,test,mt,4,ReLU-2,3,0.40087854288942715,10000.0
277,test,mt,4,ReLU-3,5,0.29426913790254294,1000.0
278,test,mt,4,ReLU-4,7,0.30409128523576445,1000.0
