video_name,indoor,expanse,transitivity,agent distance,facingness,joint action,communication,cooperation,dominance,intimacy,valence,arousal
-YwZOeyAQC8_15.mp4,1,0.225,0.8958333333333334,0.0,0.0454545454545454,0.7,0.55,0.775,0.7,0.95,0.65,0.3409090909090909
1AIVH5cEWrI_35.mp4,1,0.25,0.1041666666666666,0.075,1.0,0.825,0.9,0.825,0.025,0.75,0.675,0.3409090909090909
2-8-0-2-5-4-8-8-5028025488_7.mp4,1,0.275,1.0,0.0454545454545454,0.05,0.575,0.5,0.725,0.425,0.825,0.675,0.075
3PJaYWt0cws_5.mp4,0,0.625,1.0,0.725,0.3409090909090909,0.0227272727272727,0.15,0.425,0.25,0.425,0.6,0.4
7-5-1-0-3-6-9-8-3775103698_9.mp4,1,0.275,0.925,0.275,0.6363636363636364,0.75,0.825,0.7954545454545454,0.1818181818181818,0.45,0.7222222222222222,0.125
8-6-0-3-9-6-6-0-19586039660_4.mp4,1,0.325,0.95,0.2272727272727273,0.15,0.425,0.7272727272727273,0.475,0.225,0.925,0.65,0.35
9hlyu-wDkg4_4.mp4,0,0.275,0.025,0.15,0.875,0.425,0.925,0.675,0.05,0.65,0.5,0.025
9jw7D-exQDg_77.mp4,1,0.125,1.0,0.3,0.575,0.75,0.9,0.75,0.5,0.775,0.75,0.3863636363636364
FJzKgF-nR0E_15.mp4,1,0.15,0.8,0.2954545454545455,0.95,0.5,0.6818181818181819,0.725,0.825,0.9,0.775,0.225
FSQ2vBJ0hmw_20.mp4,1,0.2,0.225,0.1,0.0,0.1363636363636363,0.35,0.3636363636363637,0.0,0.75,0.7777777777777778,0.225
IkTAuzVeD2Q_46.mp4,1,0.075,0.9,0.25,0.95,0.75,0.65,0.9545454545454546,0.45,0.95,0.425,0.2
WJ-84ioZqcc_41.mp4,1,0.275,0.875,0.1,0.1,0.425,0.6,0.6,0.275,0.9090909090909092,0.725,0.35
b7y36KyAIoI_120.mp4,1,0.175,0.825,0.2,0.475,0.525,0.975,0.775,0.3,0.525,0.675,0.225
bing-heavy_com_entertainment_2017_10_this-is-us-spoilers-chrissy-metz-kate-singing-songs__249.mp4,1,0.35,0.775,0.35,0.8409090909090909,0.375,0.875,0.675,0.225,0.25,0.35,0.325
eJRbWjg73fE_116.mp4,1,0.125,1.0,0.35,0.05,0.5227272727272727,0.75,0.9545454545454546,0.675,0.95,0.775,0.05
flickr-0-1-6-8-3-2-4-3-4401683243_31.mp4,0,0.775,0.775,0.85,0.0,0.0681818181818181,0.175,0.25,0.0454545454545454,0.175,0.4722222222222222,0.2
flickr-0-5-6-9-8-9-0-8-4405698908_26.mp4,1,0.45,1.0,0.6590909090909091,0.1,0.8055555555555556,0.7291666666666667,0.7,0.15,0.7045454545454546,0.575,0.5454545454545454
flickr-0-6-1-2-0-7-8-4-4606120784_26.mp4,1,0.475,0.9772727272727272,0.475,0.15,0.825,0.7,0.95,0.05,0.5,0.55,0.3636363636363637
flickr-0-9-3-5-5-6-6-9-5809355669_3.mp4,1,0.075,0.875,0.0681818181818181,0.975,0.3888888888888889,0.7083333333333333,0.8,0.675,0.8863636363636364,0.725,0.3863636363636364
flickr-0-9-4-9-7-9-0-1-3009497901_3.mp4,1,0.125,0.925,0.2,0.9545454545454546,0.525,0.95,0.85,0.675,0.9,0.85,0.2
flickr-1-0-3-5-1-1-0-6-2810351106_1.mp4,1,0.05,1.0,0.175,0.7,0.6136363636363636,0.65,0.525,0.475,0.85,0.875,0.5833333333333334
flickr-1-1-2-0-2-4-6-6-7211202466_8.mp4,0,0.55,0.55,0.5681818181818182,0.2,0.4166666666666667,0.6875,0.6,0.15,0.5909090909090909,0.775,0.5
flickr-1-6-4-12557575164_3.mp4,0,0.275,0.825,0.125,0.3,0.6,0.825,0.825,0.75,0.9,0.85,0.3
flickr-1-8-1-1-6-5-4-7-6118116547_81.mp4,1,0.15,1.0,0.025,0.025,0.7777777777777778,0.775,0.925,0.8,1.0,0.925,0.0833333333333333
flickr-1-9-7-9-4-8-8-5-5319794885_45.mp4,1,0.6,0.975,0.525,0.4772727272727273,0.45,0.3863636363636363,0.675,0.0833333333333333,0.375,0.475,0.225
flickr-2-0-5-7-0-2-3-3-4720570233_26.mp4,1,0.2291666666666666,0.975,0.3,0.2,0.4318181818181818,0.7,0.675,0.5,0.475,0.6,0.375
flickr-2-1-6-6-7-1-1-2-16621667112_15.mp4,1,0.275,0.9,0.25,0.0227272727272727,0.6590909090909091,1.0,0.8863636363636364,0.5,0.425,0.425,0.075
flickr-2-2-8-4-6-0-2-0-8222846020_11.mp4,1,0.45,0.05,0.45,1.0,0.25,1.0,0.55,0.25,0.25,0.475,0.075
flickr-2-3-8-6-9-3-6-0-2823869360_23.mp4,1,0.15,1.0,0.35,0.95,0.45,0.675,0.55,0.0,0.8,0.725,0.725
flickr-2-8-2-7-7-6-8-9-3028277689_11.mp4,1,0.125,0.2,0.0,0.8,0.6,0.8,0.9,0.6,0.9,0.85,0.325
flickr-3-2-7-8-3-1-4-7-16232783147_5.mp4,1,0.025,0.025,0.05,1.0,0.8409090909090909,0.925,0.9545454545454546,0.9,0.975,0.925,0.375
flickr-3-3-2-8-3-2-3-7-2833283237_47.mp4,1,0.125,0.775,0.15,0.1,0.5,0.475,0.6,0.65,0.9,0.35,0.55
flickr-3-5-1-9-5-7-1-6-5535195716_54.mp4,1,0.05,1.0,0.125,0.8,0.35,0.65,0.8,0.25,0.95,0.725,0.375
flickr-4-0-4-9-3-3-4-4-15540493344_49.mp4,1,0.325,1.0,0.425,0.025,0.85,0.675,0.925,0.55,0.75,0.65,0.2954545454545455
flickr-4-1-6-2-6-0-0-0-23041626000_1.mp4,1,0.15,0.4,0.1,0.875,0.55,0.95,0.675,0.875,0.95,0.825,0.375
flickr-4-1-7-8-1-9-6-2-3941781962_7.mp4,1,0.15,0.925,0.2,0.1,0.475,0.625,0.925,0.5,0.275,0.525,0.4
flickr-4-2-6-5-6-4-7-1-5442656471_12.mp4,1,0.15,0.8,0.075,0.4,0.55,0.675,0.875,0.85,0.925,0.7,0.325
flickr-4-7-1-4-7-6-4-0-2447147640_28.mp4,1,0.25,0.35,0.35,0.275,0.325,0.9,0.625,0.275,0.25,0.65,0.25
flickr-4-7-7-6-8-6-8-3-10147768683_30.mp4,0,0.525,0.5,0.3,0.15,0.525,0.825,0.725,0.15,0.75,0.625,0.3
flickr-4-8-3-9-9-3-0-9-6748399309_20.mp4,0,0.35,0.9,0.3181818181818182,0.975,0.6111111111111112,0.8541666666666667,0.75,0.875,0.7954545454545454,0.7,0.6136363636363636
flickr-4-9-9-9-8-3-1-6-25549998316_29.mp4,1,0.125,0.975,0.075,0.1363636363636363,0.825,0.975,0.425,0.725,0.95,0.875,0.25
flickr-5-0-2-0-2-2-2-2-2450202222_18.mp4,1,0.25,0.975,0.0909090909090909,0.075,0.0555555555555555,0.3541666666666666,0.625,0.125,0.7954545454545454,0.75,0.3636363636363637
flickr-5-2-4-7-4-1-5-5-6952474155_71.mp4,1,0.35,1.0,0.4772727272727273,0.7,0.7222222222222222,0.8125,0.85,0.1,0.5454545454545454,0.75,0.6136363636363636
flickr-5-3-3-2-7-2-4-7-3053327247_9.mp4,1,0.4,1.0,0.2,0.1818181818181818,0.875,0.4499999999999999,0.85,0.15,0.45,0.75,0.6363636363636364
flickr-5-4-8-7-2-0-2-6-2454872026_5.mp4,1,0.4,0.1,0.25,0.375,0.575,0.575,0.75,0.325,0.95,0.775,0.525
flickr-5-5-5-1-2-1-2-0-2755512120_95.mp4,1,0.175,0.125,0.225,0.675,0.6363636363636364,0.8181818181818182,0.35,0.4772727272727273,0.85,0.325,0.575
flickr-5-7-2-8-0-0-7-2-3957280072_16.mp4,1,0.15,1.0,0.2,0.0,0.825,0.675,0.925,0.15,0.625,0.575,0.45
flickr-6-2-2-9-2-0-1-2-5362292012_12.mp4,1,0.275,1.0,0.25,0.875,0.675,0.6590909090909092,0.675,0.6666666666666666,0.925,0.925,0.375
flickr-7-3-3-1-0-7-1-8-2773310718_8.mp4,0,0.55,1.0,0.475,0.0227272727272727,0.15,0.3,0.6,0.85,0.7,0.65,0.2
flickr-7-4-1-1-3-9-5-4-8274113954_15.mp4,1,0.175,0.125,0.075,0.25,0.9545454545454546,0.775,0.8863636363636364,0.7954545454545454,0.85,0.75,0.175
flickr-7-7-0-5-0-7-0-9-4177050709_33.mp4,1,0.15,0.9772727272727272,0.125,0.1,0.5,0.825,0.75,0.3,0.8409090909090909,0.45,0.225
flickr-7-7-6-9-8-7-4-3-6077698743_33.mp4,0,0.275,1.0,0.0,0.0,0.825,0.65,0.775,0.825,0.95,0.775,0.2
flickr-7-8-3-9-5-6-9-1-3078395691_54.mp4,1,0.325,0.05,0.225,0.4318181818181818,0.35,0.5681818181818181,0.8,0.0,0.75,0.9,0.225
flickr-7-8-4-4-1-9-1-7-2878441917_1.mp4,1,0.275,1.0,0.55,0.025,0.9,0.4,0.875,0.1,0.725,0.65,0.625
flickr-7-8-5-0-9-0-9-0-4078509090_12.mp4,1,0.025,0.5208333333333334,0.0,0.125,0.85,0.625,0.925,0.65,0.9,0.575,0.25
flickr-7-9-6-9-9-2-6-7-5479699267_3.mp4,0,0.35,0.95,0.3,0.0,0.6363636363636364,0.15,0.8409090909090909,0.8409090909090909,0.825,0.6944444444444444,0.075
flickr-8-3-1-6897055831_10.mp4,1,0.175,0.96875,0.275,0.8863636363636364,0.8409090909090909,0.8863636363636364,0.925,0.8181818181818182,0.575,0.675,0.2
flickr-8-4-2-6-5-3-9-1-9784265391_7.mp4,1,0.025,0.675,0.025,0.05,0.5,0.6,0.725,0.925,0.975,0.575,0.325
flickr-8-7-2-6-6-0-0-8-3387266008_18.mp4,1,0.35,0.875,0.325,0.025,0.125,0.0749999999999999,0.6,0.225,0.825,0.45,0.2272727272727273
flickr-8-9-7-9-5-0-4-1-6189795041_19.mp4,0,0.575,0.975,0.775,0.05,0.075,0.275,0.7,0.125,0.5,0.25,0.475
flickr-9-3-0-5-5-4-4-2-3593055442_11.mp4,1,0.2,0.925,0.025,0.0,0.575,0.875,0.775,0.7,0.65,0.675,0.275
flickr-9-3-2-2-7-4-6-7-4593227467_2.mp4,0,0.525,0.375,0.2,0.0681818181818181,0.3333333333333333,0.3249999999999999,0.725,0.275,0.6,0.45,0.4722222222222222
flickr-9-6-7-8-7-6-4-6-2496787646_9.mp4,1,0.05,0.925,0.0,0.0227272727272727,0.4772727272727273,0.35,0.8863636363636364,0.95,0.9,0.7,0.25
flickr-9-7-4-6-7-4-5-2-2597467452_51.mp4,0,0.1,0.925,0.0,0.2,0.9166666666666666,0.7708333333333334,0.925,0.775,0.9545454545454546,0.575,0.3409090909090909
flickr_R-1-2-8-9-1-4-3-5-4212891435_36.mp4,1,0.15,0.975,0.275,0.0,0.2272727272727273,0.05,0.75,0.125,0.95,0.6,0.075
giphy-10TNZYlPEDFR3a_3.mp4,1,0.3,0.275,0.375,0.75,0.7272727272727273,0.7,0.8409090909090909,0.0,0.725,0.8611111111111112,0.5
giphy-5gH28DhukBKlq_2.mp4,1,0.375,0.925,0.45,0.0454545454545454,0.0555555555555555,0.1999999999999999,0.55,0.5,0.25,0.575,0.2777777777777778
gvztLkrmEIg_137.mp4,1,0.5,1.0,0.275,0.0,0.55,0.3249999999999999,0.25,0.125,0.5,0.7,0.4545454545454545
t2z1X76v4ys_178.mp4,0,0.275,0.975,0.85,0.175,0.0,0.15,0.625,0.425,0.2,0.625,0.375
twUN1iwMWgY_1320.mp4,1,0.225,0.95,0.0681818181818181,0.0454545454545454,0.525,0.2272727272727273,1.0,0.65,0.825,0.675,0.125
vine-A-kid-bowing-a-wheel-JohnnyRandom-MgJUX6q5pV5_1.mp4,1,0.5,1.0,0.25,0.2,0.5,0.75,0.75,0.775,0.65,0.575,0.4
vine-Discussing-gopher-problems-with-Frank-from-the-parks-department-hLpauJl9VBw_1.mp4,0,0.425,0.9583333333333334,0.375,0.525,0.475,0.775,0.75,0.575,0.35,0.55,0.3863636363636364
vine-MBwjdF6eU79_2.mp4,1,0.025,1.0,0.25,0.0,0.0,0.1875,0.525,0.1,0.3636363636363637,0.7,0.0909090909090909
vine-MKEjBiBY6Fw_1.mp4,1,0.15,0.046875,0.05,0.025,0.9090909090909092,0.8409090909090909,0.2,0.3863636363636364,0.8,0.55,0.675
vine-MVvgr5hA3JD_1.mp4,0,0.225,0.95,0.375,0.025,0.075,0.0999999999999999,0.625,0.15,0.1363636363636363,0.3,0.225
vine-Nononononono-twerking-weird-clapping-no-Kevin-Marshall-hHqMIJdWz7E_3.mp4,1,0.2291666666666666,0.075,0.2,1.0,0.8636363636363636,0.85,0.675,0.05,0.775,0.775,0.45
vine-arm-wrestling-h6itJarOtiI_3.mp4,1,0.075,0.1,0.1,0.9,0.6818181818181818,0.675,0.0227272727272727,0.475,0.65,0.525,0.55
vine-hxLaMMzZhv0_1.mp4,1,0.3,0.975,0.325,0.0,0.2,0.175,0.575,0.075,0.75,0.75,0.025
yt---kgxi3dRc8_202.mp4,0,0.2708333333333333,0.7,0.15,0.425,0.3409090909090909,0.925,0.625,0.475,0.4,0.45,0.225
yt--7QDJQU657I_4.mp4,1,0.125,0.1363636363636363,0.0,0.025,0.825,0.75,0.825,0.925,0.975,0.9,0.6590909090909091
yt--Sv97d457Uw_137.mp4,0,0.475,0.1818181818181818,0.625,0.975,0.55,1.0,0.375,0.275,0.2954545454545455,0.35,0.425
yt--d_UnNREYO4_61.mp4,1,0.25,0.4583333333333333,0.225,0.95,0.7,0.9,0.85,0.025,0.875,0.575,0.3636363636363637
yt-0Bzn7lSvTmA_9.mp4,1,0.225,0.1,0.175,0.925,0.5,0.85,0.675,0.075,0.8,0.9,0.2222222222222222
yt-0IxYqinsuz8_7.mp4,1,0.075,1.0,0.075,0.4,0.475,0.875,0.925,0.925,0.9,0.7,0.2272727272727273
yt-0QzC8ORgZlM_35.mp4,1,0.35,0.225,0.3,0.075,0.1590909090909091,0.3,0.3863636363636364,0.0,0.675,0.3333333333333333,0.475
yt-11lRVNynHq0_23.mp4,0,0.5208333333333334,1.0,0.3,0.15,0.3863636363636364,0.175,0.8,0.5,0.35,0.4,0.175
yt-1bNx06Nq40k_73.mp4,1,0.2,1.0,0.5454545454545454,0.0,0.8,0.4545454545454546,0.95,0.125,0.65,0.7,0.625
yt-1iBn-CjHBgc_22.mp4,1,0.075,0.15,0.0,0.475,0.575,0.8,0.725,0.85,0.975,0.3,0.725
yt-1iRW2U2jNPA_888.mp4,0,0.35,0.9545454545454546,0.45,1.0,0.3,0.625,0.65,0.3,0.3,0.5,0.1363636363636363
yt-1icEOZdgkVY_35.mp4,1,0.325,0.075,0.1818181818181818,0.025,0.0833333333333333,0.5416666666666667,0.45,0.125,0.6818181818181818,0.375,0.6818181818181818
yt-2Joztxgo5Sw_180.mp4,1,0.3,1.0,0.3636363636363637,0.5,0.55,1.0,0.725,0.525,0.475,0.575,0.25
yt-2Ks8gsK22PA_14.mp4,1,0.325,1.0,0.3409090909090909,0.3,0.825,0.5454545454545455,0.9,0.0,0.525,0.65,0.625
yt-2ULEIoRKW_Q_35.mp4,1,0.2,0.265625,0.15,0.025,0.2954545454545455,0.6818181818181819,0.5,0.0227272727272727,0.575,0.375,0.625
