,roi_name,subj_id,model_name,model_layer_index,score
0,evc,1,standard_AlexNet,standard_AlexNet_RDM/features.3.npz,0.048256380950173004
1,evc,2,standard_AlexNet,standard_AlexNet_RDM/features.3.npz,0.06538250820846384
2,evc,3,standard_AlexNet,standard_AlexNet_RDM/features.3.npz,0.07485875862554221
3,evc,4,standard_AlexNet,standard_AlexNet_RDM/features.3.npz,0.08837098370347006
4,evc,1,standard_AlexNet,standard_AlexNet_RDM/features.8.npz,0.019922390931926274
5,evc,2,standard_AlexNet,standard_AlexNet_RDM/features.8.npz,0.03405371292888635
6,evc,3,standard_AlexNet,standard_AlexNet_RDM/features.8.npz,0.04241801621172686
7,evc,4,standard_AlexNet,standard_AlexNet_RDM/features.8.npz,0.054031223686324015
8,evc,1,standard_AlexNet,standard_AlexNet_RDM/features.0.npz,0.023392208300723933
9,evc,2,standard_AlexNet,standard_AlexNet_RDM/features.0.npz,0.03498458753911895
10,evc,3,standard_AlexNet,standard_AlexNet_RDM/features.0.npz,0.04471438820853799
11,evc,4,standard_AlexNet,standard_AlexNet_RDM/features.0.npz,0.04278450635026749
12,evc,1,standard_AlexNet,standard_AlexNet_RDM/features.10.npz,0.00696120447508256
13,evc,2,standard_AlexNet,standard_AlexNet_RDM/features.10.npz,0.024524577108927772
14,evc,3,standard_AlexNet,standard_AlexNet_RDM/features.10.npz,0.036547300714995304
15,evc,4,standard_AlexNet,standard_AlexNet_RDM/features.10.npz,0.03682231403282467
16,evc,1,standard_AlexNet,standard_AlexNet_RDM/features.6.npz,0.018032960301885108
17,evc,2,standard_AlexNet,standard_AlexNet_RDM/features.6.npz,0.030181961544880155
18,evc,3,standard_AlexNet,standard_AlexNet_RDM/features.6.npz,0.0390728004698055
19,evc,4,standard_AlexNet,standard_AlexNet_RDM/features.6.npz,0.05233041180008971
20,ppa,1,standard_AlexNet,standard_AlexNet_RDM/features.3.npz,0.05745094923293815
21,ppa,2,standard_AlexNet,standard_AlexNet_RDM/features.3.npz,0.03961422938682477
22,ppa,3,standard_AlexNet,standard_AlexNet_RDM/features.3.npz,0.05025018872241304
23,ppa,4,standard_AlexNet,standard_AlexNet_RDM/features.3.npz,0.07920972547889737
24,ppa,1,standard_AlexNet,standard_AlexNet_RDM/features.8.npz,0.05489960517376341
25,ppa,2,standard_AlexNet,standard_AlexNet_RDM/features.8.npz,0.03669278701609547
26,ppa,3,standard_AlexNet,standard_AlexNet_RDM/features.8.npz,0.052488020733586466
27,ppa,4,standard_AlexNet,standard_AlexNet_RDM/features.8.npz,0.07377807712209589
28,ppa,1,standard_AlexNet,standard_AlexNet_RDM/features.0.npz,0.04324034890746427
29,ppa,2,standard_AlexNet,standard_AlexNet_RDM/features.0.npz,0.010582427404585149
30,ppa,3,standard_AlexNet,standard_AlexNet_RDM/features.0.npz,0.028607013967373536
31,ppa,4,standard_AlexNet,standard_AlexNet_RDM/features.0.npz,0.04269541535998775
32,ppa,1,standard_AlexNet,standard_AlexNet_RDM/features.10.npz,0.035679387460078066
33,ppa,2,standard_AlexNet,standard_AlexNet_RDM/features.10.npz,0.02354213735202064
34,ppa,3,standard_AlexNet,standard_AlexNet_RDM/features.10.npz,0.04000521110815561
35,ppa,4,standard_AlexNet,standard_AlexNet_RDM/features.10.npz,0.0633277169626312
36,ppa,1,standard_AlexNet,standard_AlexNet_RDM/features.6.npz,0.02675894801213754
37,ppa,2,standard_AlexNet,standard_AlexNet_RDM/features.6.npz,0.008755437482835268
38,ppa,3,standard_AlexNet,standard_AlexNet_RDM/features.6.npz,0.01824925194068708
39,ppa,4,standard_AlexNet,standard_AlexNet_RDM/features.6.npz,0.04240114516577135
40,ffa,1,standard_AlexNet,standard_AlexNet_RDM/features.3.npz,0.0491230694601383
41,ffa,2,standard_AlexNet,standard_AlexNet_RDM/features.3.npz,0.05898216268003654
42,ffa,3,standard_AlexNet,standard_AlexNet_RDM/features.3.npz,0.05251265167373742
43,ffa,4,standard_AlexNet,standard_AlexNet_RDM/features.3.npz,0.02386611707969053
44,ffa,1,standard_AlexNet,standard_AlexNet_RDM/features.8.npz,0.06694729649462788
45,ffa,2,standard_AlexNet,standard_AlexNet_RDM/features.8.npz,0.08405653246694766
46,ffa,3,standard_AlexNet,standard_AlexNet_RDM/features.8.npz,0.08162394375327435
47,ffa,4,standard_AlexNet,standard_AlexNet_RDM/features.8.npz,0.041353905426282034
48,ffa,1,standard_AlexNet,standard_AlexNet_RDM/features.0.npz,0.045985758783802566
49,ffa,2,standard_AlexNet,standard_AlexNet_RDM/features.0.npz,0.05456132526871834
50,ffa,3,standard_AlexNet,standard_AlexNet_RDM/features.0.npz,0.0539917413893384
51,ffa,4,standard_AlexNet,standard_AlexNet_RDM/features.0.npz,0.021839570482783354
52,ffa,1,standard_AlexNet,standard_AlexNet_RDM/features.10.npz,0.10006321125148757
53,ffa,2,standard_AlexNet,standard_AlexNet_RDM/features.10.npz,0.11795383437477686
54,ffa,3,standard_AlexNet,standard_AlexNet_RDM/features.10.npz,0.12523636149641793
55,ffa,4,standard_AlexNet,standard_AlexNet_RDM/features.10.npz,0.06189705126558343
56,ffa,1,standard_AlexNet,standard_AlexNet_RDM/features.6.npz,0.0719206891333434
57,ffa,2,standard_AlexNet,standard_AlexNet_RDM/features.6.npz,0.08150060458518132
58,ffa,3,standard_AlexNet,standard_AlexNet_RDM/features.6.npz,0.08120920757006016
59,ffa,4,standard_AlexNet,standard_AlexNet_RDM/features.6.npz,0.04844940819261646
60,mt,1,standard_AlexNet,standard_AlexNet_RDM/features.3.npz,0.021398833574685982
61,mt,2,standard_AlexNet,standard_AlexNet_RDM/features.3.npz,0.030813323110233767
62,mt,3,standard_AlexNet,standard_AlexNet_RDM/features.3.npz,0.08113252606033339
63,mt,4,standard_AlexNet,standard_AlexNet_RDM/features.3.npz,0.08458457800365085
64,mt,1,standard_AlexNet,standard_AlexNet_RDM/features.8.npz,0.047318066050262106
65,mt,2,standard_AlexNet,standard_AlexNet_RDM/features.8.npz,0.04962198520689575
66,mt,3,standard_AlexNet,standard_AlexNet_RDM/features.8.npz,0.050625923608022164
67,mt,4,standard_AlexNet,standard_AlexNet_RDM/features.8.npz,0.058758705185686544
68,mt,1,standard_AlexNet,standard_AlexNet_RDM/features.0.npz,0.018536272568223787
69,mt,2,standard_AlexNet,standard_AlexNet_RDM/features.0.npz,0.00930628505437151
70,mt,3,standard_AlexNet,standard_AlexNet_RDM/features.0.npz,0.04839487146333139
71,mt,4,standard_AlexNet,standard_AlexNet_RDM/features.0.npz,0.040316140111272894
72,mt,1,standard_AlexNet,standard_AlexNet_RDM/features.10.npz,0.04914765612690588
73,mt,2,standard_AlexNet,standard_AlexNet_RDM/features.10.npz,0.06631425616500138
74,mt,3,standard_AlexNet,standard_AlexNet_RDM/features.10.npz,0.04595501615023234
75,mt,4,standard_AlexNet,standard_AlexNet_RDM/features.10.npz,0.04145187913256557
76,mt,1,standard_AlexNet,standard_AlexNet_RDM/features.6.npz,0.01897113383557843
77,mt,2,standard_AlexNet,standard_AlexNet_RDM/features.6.npz,0.04494970903994724
78,mt,3,standard_AlexNet,standard_AlexNet_RDM/features.6.npz,0.05191255344892689
79,mt,4,standard_AlexNet,standard_AlexNet_RDM/features.6.npz,0.05627657183455992
80,eba,1,standard_AlexNet,standard_AlexNet_RDM/features.3.npz,0.024657963656588275
81,eba,2,standard_AlexNet,standard_AlexNet_RDM/features.3.npz,0.037975938194510485
82,eba,3,standard_AlexNet,standard_AlexNet_RDM/features.3.npz,0.07014131587878827
83,eba,4,standard_AlexNet,standard_AlexNet_RDM/features.3.npz,0.01933760218085177
