,score_set,roi_name,subj_id,model_layer,model_layer_index,score
93,test,face,4,ResidualAttentionBlock-5,2,0.004423761886019386
94,test,face,4,ResidualAttentionBlock-7,3,0.0028845189777406965
95,test,face,4,ResidualAttentionBlock-9,4,-0.011087541614580617
96,test,ffa,1,ResidualAttentionBlock-1,0,0.052546336304856625
97,test,ffa,1,ResidualAttentionBlock-11,5,0.056212341420173784
98,test,ffa,1,ResidualAttentionBlock-3,1,0.061405830965938726
99,test,ffa,1,ResidualAttentionBlock-5,2,0.06206406802620801
100,test,ffa,1,ResidualAttentionBlock-7,3,0.05049678051612638
101,test,ffa,1,ResidualAttentionBlock-9,4,0.04668687691920801
102,test,ffa,2,ResidualAttentionBlock-1,0,0.07018771461592702
103,test,ffa,2,ResidualAttentionBlock-11,5,0.054902204234139364
104,test,ffa,2,ResidualAttentionBlock-3,1,0.06232120191367331
105,test,ffa,2,ResidualAttentionBlock-5,2,0.06653739252846089
106,test,ffa,2,ResidualAttentionBlock-7,3,0.04694896201088684
107,test,ffa,2,ResidualAttentionBlock-9,4,0.041259912049114535
108,test,ffa,3,ResidualAttentionBlock-1,0,0.058855935508921466
109,test,ffa,3,ResidualAttentionBlock-11,5,0.05197762045580665
110,test,ffa,3,ResidualAttentionBlock-3,1,0.0560917070237434
111,test,ffa,3,ResidualAttentionBlock-5,2,0.04692487862532521
112,test,ffa,3,ResidualAttentionBlock-7,3,0.04006565023687011
113,test,ffa,3,ResidualAttentionBlock-9,4,0.03731177426959307
114,test,ffa,4,ResidualAttentionBlock-1,0,0.017027166003282006
115,test,ffa,4,ResidualAttentionBlock-11,5,0.013847349923576219
116,test,ffa,4,ResidualAttentionBlock-3,1,0.021820619489714935
117,test,ffa,4,ResidualAttentionBlock-5,2,0.005025811123191297
118,test,ffa,4,ResidualAttentionBlock-7,3,0.013564640714652465
119,test,ffa,4,ResidualAttentionBlock-9,4,0.006929764083211079
120,test,loc,1,ResidualAttentionBlock-1,0,0.03605372840470202
121,test,loc,1,ResidualAttentionBlock-11,5,0.04250944629327894
122,test,loc,1,ResidualAttentionBlock-3,1,0.0597541871244162
123,test,loc,1,ResidualAttentionBlock-5,2,0.054461208212677234
124,test,loc,1,ResidualAttentionBlock-7,3,0.02707188488526065
125,test,loc,1,ResidualAttentionBlock-9,4,0.025230426338383453
126,test,loc,2,ResidualAttentionBlock-1,0,0.054135981359398885
127,test,loc,2,ResidualAttentionBlock-11,5,0.023864728448069316
128,test,loc,2,ResidualAttentionBlock-3,1,0.0379583438854082
129,test,loc,2,ResidualAttentionBlock-5,2,0.030999631188388898
130,test,loc,2,ResidualAttentionBlock-7,3,0.016659785639156086
131,test,loc,2,ResidualAttentionBlock-9,4,0.00460697161414947
132,test,loc,3,ResidualAttentionBlock-1,0,0.06486911486604122
