,ROI,Subject,Layer,r,p-value
122,face,3,3,0.05726069260498977,0.0
123,face,4,3,-0.01292981887739822,0.0682
124,face,1,4,0.0849967319392141,0.0
125,face,2,4,0.05764479647437097,0.0
126,face,3,4,0.1002975239222366,0.0
127,face,4,4,0.05282514937731023,0.0
128,asts,1,1,0.00324875367157414,0.6468
129,asts,2,1,0.017165980525998697,0.0155
130,asts,3,1,0.016732745028124964,0.0183
131,asts,4,1,0.0005972115176273795,0.9329
132,asts,1,2,0.015718406273952566,0.0266
133,asts,2,2,0.009959981899962918,0.16
134,asts,3,2,0.017304517273909664,0.0146
135,asts,4,2,-0.0173982275049954,0.0141
136,asts,1,3,0.026676041467402305,0.0002
137,asts,2,3,0.014282079577264847,0.0439
138,asts,3,3,0.02316794795428118,0.0011
139,asts,4,3,-0.01227369794922157,0.0834
140,asts,1,4,0.03930558477541857,0.0
141,asts,2,4,0.036354266602861736,0.0
142,asts,3,4,0.058631088257146365,0.0
143,asts,4,4,0.036773577129860506,0.0
