,ROI,Subject,Layer,r,p-value
119,ffa,4,4,0.04648395270415713,0.0
120,ffa,1,5,0.05721476601588365,0.0
121,ffa,2,5,0.07665731389976037,0.0
122,ffa,3,5,0.06419352149699757,0.0
123,ffa,4,5,0.03289340968255452,0.0
124,ffa,1,6,0.04472867021158978,0.0
125,ffa,2,6,0.062353371244682425,0.0
126,ffa,3,6,0.05451218630929879,0.0
127,ffa,4,6,0.02742769945295651,0.0001
128,ffa,1,7,0.03500772609629727,0.0
129,ffa,2,7,0.056214138259321846,0.0
130,ffa,3,7,0.04886920622246064,0.0
131,ffa,4,7,0.026635871281497327,0.0002
132,ffa,1,8,0.05865741096568952,0.0
133,ffa,2,8,0.07119638641112139,0.0
134,ffa,3,8,0.06965195885921747,0.0
135,ffa,4,8,0.039229683242103096,0.0
136,ffa,1,9,0.07036402005944799,0.0
137,ffa,2,9,0.08257716073428358,0.0
138,ffa,3,9,0.08342993615292499,0.0
139,ffa,4,9,0.044437034123003726,0.0
140,ffa,1,10,0.0739366508494818,0.0
141,ffa,2,10,0.08951616653156787,0.0
142,ffa,3,10,0.08793311813017277,0.0
143,ffa,4,10,0.04072034962461074,0.0
144,ffa,1,11,0.09722519092731591,0.0
145,ffa,2,11,0.1134425246521506,0.0
146,ffa,3,11,0.11300498572708217,0.0
147,ffa,4,11,0.05057363391814809,0.0
148,ffa,1,12,0.09534185218040193,0.0
149,ffa,2,12,0.11547151354263263,0.0
150,ffa,3,12,0.1150701070573457,0.0
151,ffa,4,12,0.04271844734909863,0.0
152,ffa,1,13,0.10727218890050778,0.0
153,ffa,2,13,0.1433824183410817,0.0
154,ffa,3,13,0.1445838278631676,0.0
155,ffa,4,13,0.06688192371239471,0.0
156,mt,1,1,0.018021178303149473,0.011
157,mt,2,1,0.0052473608222449175,0.4592
158,mt,3,1,0.02156893938458509,0.0023
159,mt,4,1,0.02750296376072835,0.0001
160,mt,1,2,0.024736511133259864,0.0005
161,mt,2,2,0.0045344407756612625,0.5224
162,mt,3,2,0.03439395525751782,0.0
163,mt,4,2,0.048892729988460094,0.0
164,mt,1,3,0.011220507035478913,0.1135
165,mt,2,3,0.03659153243048802,0.0
166,mt,3,3,0.02246344961684037,0.0015
167,mt,4,3,0.014542367591958885,0.0402
168,mt,1,4,0.0124925960618733,0.078
169,mt,2,4,0.04167308658964812,0.0
170,mt,3,4,0.02036534857683666,0.0041
171,mt,4,4,0.013657480228382667,0.054
172,mt,1,5,0.01335007002661427,0.0597
173,mt,2,5,0.04657606047038602,0.0
174,mt,3,5,0.03553574371683692,0.0
175,mt,4,5,0.02858350575327626,0.0001
176,mt,1,6,0.01328178346243826,0.061
177,mt,2,6,0.04554037339017674,0.0
178,mt,3,6,0.03276307828732121,0.0
179,mt,4,6,0.022909257382412992,0.0012
180,mt,1,7,0.014121244196921167,0.0464
181,mt,2,7,0.04877290363265289,0.0
182,mt,3,7,0.010612444443269812,0.1344
183,mt,4,7,0.0024042981533001564,0.7345
184,mt,1,8,0.020808582134694425,0.0033
185,mt,2,8,0.05183403618677936,0.0
186,mt,3,8,0.027131161814972455,0.0001
187,mt,4,8,0.020248312098722222,0.0043
188,mt,1,9,0.028071762993984097,0.0001
189,mt,2,9,0.056489972575961604,0.0
190,mt,3,9,0.03646130771043927,0.0
191,mt,4,9,0.02831839112692061,0.0001
192,mt,1,10,0.04141371423062294,0.0
193,mt,2,10,0.06292042849383866,0.0
194,mt,3,10,0.022187228010653228,0.0017
195,mt,4,10,0.016611688544505787,0.0191
196,mt,1,11,0.06128980634894215,0.0
197,mt,2,11,0.07194152956439434,0.0
198,mt,3,11,0.049268444645444075,0.0
199,mt,4,11,0.053566885370998164,0.0
200,mt,1,12,0.07298076252735575,0.0
201,mt,2,12,0.07256316491576426,0.0
202,mt,3,12,0.053106865238648306,0.0
203,mt,4,12,0.057235454626916316,0.0
204,mt,1,13,0.055624948506444304,0.0
205,mt,2,13,0.08011871567610056,0.0
206,mt,3,13,0.04862681466417382,0.0
207,mt,4,13,0.030750331218196,0.0
208,eba,1,1,0.01070894427755729,0.1309
209,eba,2,1,0.02641503418682503,0.0002
210,eba,3,1,0.034744976762798516,0.0
211,eba,4,1,0.0010232267994301212,0.8852
212,eba,1,2,0.009067876471187624,0.2009
213,eba,2,2,0.028563119393386977,0.0001
214,eba,3,2,0.03579525132000902,0.0
215,eba,4,2,0.001184598727529914,0.8673
216,eba,1,3,0.0056334561325115705,0.4268
217,eba,2,3,0.05371541240214566,0.0
218,eba,3,3,0.05337751140407326,0.0
219,eba,4,3,0.02053066895252002,0.0038
220,eba,1,4,0.007999209534484276,0.2592
221,eba,2,4,0.05494597516019085,0.0
222,eba,3,4,0.05426685580822555,0.0
223,eba,4,4,0.022502440473344543,0.0015
224,eba,1,5,0.014230351692500594,0.0447
225,eba,2,5,0.050025959521543546,0.0
226,eba,3,5,0.06012256692392078,0.0
227,eba,4,5,0.026176801074755653,0.0002
228,eba,1,6,0.01154073032474891,0.1035
229,eba,2,6,0.04834959996443887,0.0
230,eba,3,6,0.054488260152297074,0.0
231,eba,4,6,0.027339831351914066,0.0001
232,eba,1,7,0.008682558340464159,0.2207
233,eba,2,7,0.04911389895582386,0.0
234,eba,3,7,0.053318490148811355,0.0
235,eba,4,7,0.02747677215333349,0.0001
236,eba,1,8,0.019361412218781474,0.0063
237,eba,2,8,0.057579916565459084,0.0
238,eba,3,8,0.065412767582929,0.0
239,eba,4,8,0.03304144814594992,0.0
240,eba,1,9,0.02342888728355712,0.0009
241,eba,2,9,0.06843661966227296,0.0
242,eba,3,9,0.07674355798015156,0.0
243,eba,4,9,0.035864938521768745,0.0
244,eba,1,10,0.028063156960860196,0.0001
245,eba,2,10,0.07535837272263587,0.0
246,eba,3,10,0.08304620789441465,0.0
247,eba,4,10,0.03615592677656901,0.0
248,eba,1,11,0.04651657486433859,0.0
249,eba,2,11,0.0930395027915373,0.0
250,eba,3,11,0.10693606629528093,0.0
251,eba,4,11,0.046733595726669824,0.0
252,eba,1,12,0.05621240907897693,0.0
253,eba,2,12,0.09850408480627312,0.0
254,eba,3,12,0.12216188160354303,0.0
255,eba,4,12,0.047256883479087304,0.0
256,eba,1,13,0.052053397131970464,0.0
257,eba,2,13,0.10953585812242997,0.0
258,eba,3,13,0.13791288270829602,0.0
259,eba,4,13,0.058885290594257775,0.0
260,loc,1,1,0.026540159414804528,0.0002
261,loc,2,1,0.030576972254581374,0.0
262,loc,3,1,0.029000300504158923,0.0
263,loc,4,1,0.033481726339112845,0.0
264,loc,1,2,0.031095599005456612,0.0
265,loc,2,2,0.030574042220448395,0.0
266,loc,3,2,0.032294688542575264,0.0
267,loc,4,2,0.03933545925567023,0.0
268,loc,1,3,0.0626732241098928,0.0
269,loc,2,3,0.03699156204193768,0.0
270,loc,3,3,0.0711496691986959,0.0
271,loc,4,3,0.041528691397496674,0.0
272,loc,1,4,0.062186736722616646,0.0
273,loc,2,4,0.039956540718178286,0.0
274,loc,3,4,0.07019910051578813,0.0
275,loc,4,4,0.043800967853793754,0.0
276,loc,1,5,0.05784837874978574,0.0
277,loc,2,5,0.04087729938922895,0.0
278,loc,3,5,0.06461904803993744,0.0
279,loc,4,5,0.044869574280953076,0.0
280,loc,1,6,0.04785329276877056,0.0
281,loc,2,6,0.03562040625247472,0.0
282,loc,3,6,0.05616337218718799,0.0
283,loc,4,6,0.04074806863677324,0.0
284,loc,1,7,0.04309526261513823,0.0
285,loc,2,7,0.03499007530522775,0.0
286,loc,3,7,0.05406663245559972,0.0
287,loc,4,7,0.0389469827985214,0.0
288,loc,1,8,0.05723677818386798,0.0
289,loc,2,8,0.04296432245404062,0.0
290,loc,3,8,0.06530159202857688,0.0
291,loc,4,8,0.05112658840037655,0.0
292,loc,1,9,0.06386175157787484,0.0
293,loc,2,9,0.054738745462026554,0.0
294,loc,3,9,0.07386266861878457,0.0
295,loc,4,9,0.06346576992116573,0.0
296,loc,1,10,0.07128659495637366,0.0
297,loc,2,10,0.05480588030258068,0.0
298,loc,3,10,0.07844820720338451,0.0
299,loc,4,10,0.06678398075184401,0.0
300,loc,1,11,0.08239830492323315,0.0
301,loc,2,11,0.08346646971847986,0.0
302,loc,3,11,0.09742719761342908,0.0
303,loc,4,11,0.08828920724388528,0.0
304,loc,1,12,0.08254011760102858,0.0
305,loc,2,12,0.0894644361333881,0.0
306,loc,3,12,0.10061986354999311,0.0
307,loc,4,12,0.09093615047252492,0.0
308,loc,1,13,0.08119218015175297,0.0
309,loc,2,13,0.09239061991741658,0.0
310,loc,3,13,0.10850517621943975,0.0
311,loc,4,13,0.10091705022730496,0.0
312,psts,1,1,0.0026238580128269485,0.7113
313,psts,2,1,0.01840505294701737,0.0094
314,psts,3,1,0.03354003832972923,0.0
315,psts,4,1,0.0040229129099179535,0.5704
316,psts,1,2,0.0007343467757715889,0.9175
317,psts,2,2,0.015942508216813377,0.0245
318,psts,3,2,0.030808982303397667,0.0
319,psts,4,2,0.007729422677459788,0.2756
320,psts,1,3,-0.0016757231858674777,0.8131
321,psts,2,3,0.02930253021663047,0.0
322,psts,3,3,0.03811558110172822,0.0
323,psts,4,3,0.002834875340565302,0.6892
324,psts,1,4,-0.002038997725647466,0.7736
325,psts,2,4,0.03446377443169887,0.0
326,psts,3,4,0.04047534546270743,0.0
327,psts,4,4,0.005602276796971523,0.4294
328,psts,1,5,-0.0016354851185567739,0.8175
329,psts,2,5,0.03186985353671203,0.0
330,psts,3,5,0.03493865151867029,0.0
331,psts,4,5,0.008138232316084756,0.251
332,psts,1,6,-0.0024740816028525794,0.7271
333,psts,2,6,0.03200294869044548,0.0
334,psts,3,6,0.03164934488308024,0.0
335,psts,4,6,0.006502208066391475,0.359
336,psts,1,7,-5.855607599707952e-05,0.9934
337,psts,2,7,0.03092841113500094,0.0
338,psts,3,7,0.03235527443596404,0.0
339,psts,4,7,0.009327632697223191,0.1883
340,psts,1,8,0.003198173221357873,0.6519
341,psts,2,8,0.03401417571825359,0.0
342,psts,3,8,0.03835177558739798,0.0
343,psts,4,8,0.015768963808344326,0.0261
344,psts,1,9,0.005017067628093029,0.4791
345,psts,2,9,0.039573508344831095,0.0
346,psts,3,9,0.04636681995822808,0.0
347,psts,4,9,0.020869919076869588,0.0032
