,score_set,roi_name,subj_id,model_layer,model_layer_index,score
100,test,evc,3,Conv2d-1,0,0.010087929391478543
101,test,evc,3,Conv2d-2,2,0.03213796816284657
102,test,evc,3,Conv2d-3,4,0.036291578388524634
103,test,evc,3,Conv2d-4,6,0.03675920167268772
104,test,evc,3,Conv2d-5,8,0.033008242187218484
105,test,evc,3,ReLU-1,1,0.05465321277648386
106,test,evc,3,ReLU-2,3,0.0812230182444795
107,test,evc,3,ReLU-3,5,0.04353021871906683
108,test,evc,3,ReLU-4,7,0.059231448188037536
109,test,evc,3,ReLU-5,9,0.04751102736602384
110,test,evc,4,Conv2d-1,0,-0.007883095949052666
111,test,evc,4,Conv2d-2,2,0.046863982353685656
112,test,evc,4,Conv2d-3,4,0.05354055227168103
113,test,evc,4,Conv2d-4,6,0.03798701939908615
114,test,evc,4,Conv2d-5,8,0.05211262801094474
115,test,evc,4,ReLU-1,1,0.04070758220788053
116,test,evc,4,ReLU-2,3,0.10163401623959581
117,test,evc,4,ReLU-3,5,0.05701865438255538
118,test,evc,4,ReLU-4,7,0.07028541871623468
119,test,evc,4,ReLU-5,9,0.03837385056137882
120,test,face,1,Conv2d-1,0,0.025162024870571398
121,test,face,1,Conv2d-2,2,0.031050786888715615
122,test,face,1,Conv2d-3,4,0.02049892106483258
123,test,face,1,Conv2d-4,6,0.03831201866892261
124,test,face,1,Conv2d-5,8,0.036953896778518444
125,test,face,1,ReLU-1,1,0.019307779674446943
126,test,face,1,ReLU-2,3,0.04281134331505881
127,test,face,1,ReLU-3,5,0.03671891940347345
128,test,face,1,ReLU-4,7,0.04221913579739612
129,test,face,1,ReLU-5,9,0.07125113617872482
130,test,face,2,Conv2d-1,0,0.012153269356256213
131,test,face,2,Conv2d-2,2,0.010671397704972713
132,test,face,2,Conv2d-3,4,0.019126704173260792
133,test,face,2,Conv2d-4,6,0.02543819990600804
134,test,face,2,Conv2d-5,8,0.0079756212617049
135,test,face,2,ReLU-1,1,0.018375734446536666
136,test,face,2,ReLU-2,3,0.01783670053571878
137,test,face,2,ReLU-3,5,0.032131934672931614
138,test,face,2,ReLU-4,7,0.01987899388394787
139,test,face,2,ReLU-5,9,0.04452457629336619
140,test,face,3,Conv2d-1,0,0.03275878039044975
141,test,face,3,Conv2d-2,2,0.05295093920525586
142,test,face,3,Conv2d-3,4,0.0442704161628749
143,test,face,3,Conv2d-4,6,0.06971515024237004
144,test,face,3,Conv2d-5,8,0.047532845031986216
145,test,face,3,ReLU-1,1,0.04647242757062135
146,test,face,3,ReLU-2,3,0.04606854787982633
147,test,face,3,ReLU-3,5,0.0722001389017607
148,test,face,3,ReLU-4,7,0.08227780175130517
149,test,face,3,ReLU-5,9,0.11290566780125441
150,test,face,4,Conv2d-1,0,0.011631516614792396
151,test,face,4,Conv2d-2,2,0.012128806664958107
152,test,face,4,Conv2d-3,4,0.009845724977801132
153,test,face,4,Conv2d-4,6,0.009775872033370811
154,test,face,4,Conv2d-5,8,-0.009215015399180725
155,test,face,4,ReLU-1,1,0.01392485978647363
156,test,face,4,ReLU-2,3,0.016232935192959784
157,test,face,4,ReLU-3,5,0.022230168536917894
158,test,face,4,ReLU-4,7,0.00890364584880848
159,test,face,4,ReLU-5,9,0.020795371256236577
160,test,ffa,1,Conv2d-1,0,0.018729717732050087
161,test,ffa,1,Conv2d-2,2,0.06239410447622493
162,test,ffa,1,Conv2d-3,4,0.05229399178449062
163,test,ffa,1,Conv2d-4,6,0.07707259418698788
164,test,ffa,1,Conv2d-5,8,0.04292345091853309
165,test,ffa,1,ReLU-1,1,0.04680704603393497
166,test,ffa,1,ReLU-2,3,0.07490849818066006
167,test,ffa,1,ReLU-3,5,0.09680425055065711
