,ROI,Subject,Layer,r,p-value
0,evc,1,1,0.009500684166595398,0.1802
1,evc,2,1,0.006836379453168859,0.3349
2,evc,3,1,0.018517904975667538,0.009
3,evc,4,1,0.02637559509543129,0.0002
4,evc,1,2,0.016575232131043782,0.0194
5,evc,2,2,0.01946603880421969,0.006
6,evc,3,2,0.026500034302915105,0.0002
7,evc,4,2,0.03273635966553951,0.0
8,evc,1,3,0.03481581274580151,0.0
9,evc,2,3,0.04204401056761035,0.0
10,evc,3,3,0.03827048454060562,0.0
11,evc,4,3,0.050391196211200986,0.0
12,evc,1,4,0.029601086488466054,0.0
13,evc,2,4,0.03780419992295301,0.0
14,evc,3,4,0.03246059897108276,0.0
15,evc,4,4,0.04801389251070897,0.0
16,ppa,1,1,0.019389175986301084,0.0062
17,ppa,2,1,0.007784784869810332,0.2721
18,ppa,3,1,0.02227503158058595,0.0017
19,ppa,4,1,0.03293203332291832,0.0
20,ppa,1,2,0.008923120344621607,0.2081
21,ppa,2,2,0.007915838128075716,0.2642
22,ppa,3,2,0.02015570676010958,0.0045
23,ppa,4,2,0.019663879008645423,0.0055
24,ppa,1,3,0.025095939374416346,0.0004
25,ppa,2,3,0.022621647949394606,0.0014
26,ppa,3,3,0.02442638821898497,0.0006
27,ppa,4,3,0.03386978673919665,0.0
28,ppa,1,4,0.019511134043262664,0.0059
29,ppa,2,4,0.015829883048281323,0.0255
30,ppa,3,4,0.026079374205965226,0.0002
31,ppa,4,4,0.022073137460116344,0.0018
32,ffa,1,1,0.019362802181693565,0.0063
33,ffa,2,1,0.028428106054353627,0.0001
34,ffa,3,1,0.028360229531259665,0.0001
35,ffa,4,1,0.01216619656267108,0.0861
36,ffa,1,2,0.010213659346844484,0.1497
37,ffa,2,2,0.015390127319148978,0.0299
38,ffa,3,2,0.017725263170559613,0.0124
39,ffa,4,2,0.006597760027110982,0.352
40,ffa,1,3,0.017414250492164364,0.014
41,ffa,2,3,0.024044502531789934,0.0007
42,ffa,3,3,0.018099307380891008,0.0107
43,ffa,4,3,0.004731685507223693,0.5045
44,ffa,1,4,0.02243168669664131,0.0016
45,ffa,2,4,0.03718463547781329,0.0
46,ffa,3,4,0.02447256806287643,0.0006
47,ffa,4,4,0.0026393047070845817,0.7097
48,mt,1,1,0.006152372472045273,0.3855
49,mt,2,1,0.011971792959949204,0.0913
50,mt,3,1,0.020548940593768834,0.0037
51,mt,4,1,0.026516226026197593,0.0002
52,mt,1,2,0.012247381001064879,0.084
53,mt,2,2,0.014976458677746446,0.0346
54,mt,3,2,0.030485592669167144,0.0
55,mt,4,2,0.036025372921954,0.0
56,mt,1,3,0.023555735120232082,0.0009
57,mt,2,3,0.026839132497470473,0.0002
58,mt,3,3,0.03841963246682281,0.0
59,mt,4,3,0.04737389973836806,0.0
60,mt,1,4,0.042887928992598114,0.0
61,mt,2,4,0.04046086969330985,0.0
62,mt,3,4,0.040099535740434115,0.0
63,mt,4,4,0.049986376302933545,0.0
64,eba,1,1,0.0043609909012709185,0.5385
65,eba,2,1,0.022525239444931358,0.0015
66,eba,3,1,0.0308148139976108,0.0
67,eba,4,1,0.015187666267963376,0.0322
68,eba,1,2,0.00308348269974168,0.6636
69,eba,2,2,0.017642884857387697,0.0128
70,eba,3,2,0.026944871924417347,0.0001
71,eba,4,2,0.015936954428003754,0.0246
72,eba,1,3,0.012339327601582918,0.0817
73,eba,2,3,0.029836251982461526,0.0
74,eba,3,3,0.035787730136481864,0.0
75,eba,4,3,0.018412152685489062,0.0094
76,eba,1,4,0.019262568832586813,0.0066
77,eba,2,4,0.042541361479539616,0.0
78,eba,3,4,0.045137639413602326,0.0
79,eba,4,4,0.023112405117980243,0.0011
80,loc,1,1,0.021777909643784055,0.0021
81,loc,2,1,0.02068024393180392,0.0035
82,loc,3,1,0.03470715303053688,0.0
83,loc,4,1,0.03152404028792002,0.0
84,loc,1,2,0.014462259981901022,0.0413
85,loc,2,2,0.010121971338118381,0.1533
86,loc,3,2,0.027986519359052116,0.0001
87,loc,4,2,0.02540975803526254,0.0003
88,loc,1,3,0.017441537142952653,0.0139
89,loc,2,3,0.022294237803600125,0.0017
90,loc,3,3,0.0232920572205808,0.001
91,loc,4,3,0.019785554758566987,0.0053
92,loc,1,4,0.02522451500479891,0.0004
93,loc,2,4,0.03999469705737657,0.0
94,loc,3,4,0.04331554614796874,0.0
95,loc,4,4,0.03437252687525809,0.0
96,psts,1,1,0.0028051952845800877,0.6923
97,psts,2,1,0.01102804769686866,0.1198
98,psts,3,1,0.022860348881571735,0.0013
99,psts,4,1,-0.002692628370457931,0.7041
100,psts,1,2,-0.005539010070129174,0.4346
101,psts,2,2,0.005831003694104014,0.4108
102,psts,3,2,0.019683551576670507,0.0055
103,psts,4,2,0.0009010449742151774,0.8989
104,psts,1,3,0.0028438198845300872,0.6883
105,psts,2,3,0.01695426224700607,0.0168
106,psts,3,3,0.012958080703273379,0.0676
107,psts,4,3,0.013882506888405565,0.0502
108,psts,1,4,0.005158246501880637,0.4668
109,psts,2,4,0.0243416627594693,0.0006
110,psts,3,4,0.017398868657921913,0.0141
111,psts,4,4,0.018643841818508776,0.0085
112,face,1,1,0.017986183532814486,0.0112
113,face,2,1,0.0062905226626820375,0.3749
114,face,3,1,0.027202696463569966,0.0001
115,face,4,1,0.00158344384227984,0.8233
