,ROI,Subject,Layer,r,p-value
0,evc,1,1,0.02438731737319613,0.0006
1,evc,2,1,0.0287554904854611,0.0
2,evc,3,1,0.03407783850823382,0.0
3,evc,4,1,0.04268335032367446,0.0
4,evc,1,2,0.04149293114598124,0.0
5,evc,2,2,0.04923374030625736,0.0
6,evc,3,2,0.04820613345448766,0.0
7,evc,4,2,0.05927218162775652,0.0
8,evc,1,3,0.057360890887809046,0.0
9,evc,2,3,0.07149295730320879,0.0
10,evc,3,3,0.06098695619782714,0.0
11,evc,4,3,0.0799321409413992,0.0
12,evc,1,4,0.060297239491754945,0.0
13,evc,2,4,0.06842765075366862,0.0
14,evc,3,4,0.05260313969976171,0.0
15,evc,4,4,0.07461831867106859,0.0
16,ppa,1,1,0.018875212921769153,0.0078
17,ppa,2,1,0.0126128725835142,0.0752
18,ppa,3,1,0.018662709750311268,0.0085
19,ppa,4,1,0.03025990452418814,0.0
20,ppa,1,2,0.01691728217080304,0.017
21,ppa,2,2,0.017269979213322666,0.0148
22,ppa,3,2,0.025760287407178454,0.0003
23,ppa,4,2,0.028941657251501853,0.0
24,ppa,1,3,0.03694465635043977,0.0
25,ppa,2,3,0.03084552739956814,0.0
26,ppa,3,3,0.031405178602633976,0.0
27,ppa,4,3,0.04743928032621876,0.0
28,ppa,1,4,0.019281939831386187,0.0065
29,ppa,2,4,0.01719222320954272,0.0153
30,ppa,3,4,0.018219078133147545,0.0102
31,ppa,4,4,0.027132099142575392,0.0001
32,ffa,1,1,0.025101758536506053,0.0004
33,ffa,2,1,0.03546903793235286,0.0
34,ffa,3,1,0.030689767303497196,0.0
35,ffa,4,1,0.01743219907103792,0.0139
36,ffa,1,2,0.014120346313502577,0.0464
37,ffa,2,2,0.010061434249459072,0.1558
38,ffa,3,2,0.01173366725412539,0.0979
39,ffa,4,2,0.005769623615152899,0.4157
40,ffa,1,3,0.026894893996867758,0.0001
41,ffa,2,3,0.02548085159433262,0.0003
42,ffa,3,3,0.02768530591261256,0.0001
43,ffa,4,3,0.01136986226025377,0.1087
44,ffa,1,4,0.03239175105173342,0.0
45,ffa,2,4,0.02540487678509567,0.0003
46,ffa,3,4,0.03351447697062609,0.0
47,ffa,4,4,0.01769280500712861,0.0126
48,mt,1,1,0.015018980971735488,0.0341
49,mt,2,1,0.02429674968508172,0.0006
50,mt,3,1,0.040513180332892494,0.0
51,mt,4,1,0.04632643296673796,0.0
52,mt,1,2,0.015865193790943727,0.0252
53,mt,2,2,0.01991370033271362,0.005
54,mt,3,2,0.05217993637620449,0.0
55,mt,4,2,0.061313255854076223,0.0
56,mt,1,3,0.03127728239267318,0.0
57,mt,2,3,0.025612817818759088,0.0003
58,mt,3,3,0.0643310733318861,0.0
59,mt,4,3,0.07924897576481135,0.0
60,mt,1,4,0.04210696533270233,0.0
61,mt,2,4,0.024879423728462836,0.0004
62,mt,3,4,0.055226006030632636,0.0
63,mt,4,4,0.07240243369793939,0.0
64,eba,1,1,0.010208730177092418,0.1498
65,eba,2,1,0.0289672757028303,0.0
66,eba,3,1,0.035297434555308045,0.0
67,eba,4,1,0.01982011746650481,0.0052
68,eba,1,2,0.010932173586906131,0.123
69,eba,2,2,0.020259370706105142,0.0043
70,eba,3,2,0.027185246026954685,0.0001
71,eba,4,2,0.016230286559560093,0.022
72,eba,1,3,0.015008838514109715,0.0342
73,eba,2,3,0.02753826326856771,0.0001
74,eba,3,3,0.039749316678760215,0.0
75,eba,4,3,0.01364357228067398,0.0543
76,eba,1,4,0.022448287351699743,0.0015
77,eba,2,4,0.03142041909977482,0.0
78,eba,3,4,0.0516247442969649,0.0
79,eba,4,4,0.022304012186871815,0.0017
80,loc,1,1,0.023993071143127834,0.0007
81,loc,2,1,0.020638975745716232,0.0036
82,loc,3,1,0.029086677351631205,0.0
83,loc,4,1,0.02966035381704373,0.0
84,loc,1,2,0.015260251509774702,0.0313
85,loc,2,2,0.015008102224039217,0.0342
86,loc,3,2,0.016350318355143542,0.0211
87,loc,4,2,0.016356631507008154,0.021
88,loc,1,3,0.020397693971475277,0.004
89,loc,2,3,0.027738647263234568,0.0001
