,ROI,Subject,Layer,r,p-value
120,face,1,3,-0.0025541783944258334,0.7186
121,face,2,3,0.004599502280554871,0.5165
122,face,3,3,0.011618292061781983,0.1012
123,face,4,3,0.0020373960327262092,0.7738
124,face,1,4,0.007466625441288445,0.2922
125,face,2,4,0.011716250995167406,0.0984
126,face,3,4,0.010289470578066968,0.1467
127,face,4,4,0.008934511777260594,0.2076
128,asts,1,1,-0.014636042600041177,0.039
129,asts,2,1,0.006599499440592169,0.3519
130,asts,3,1,0.02098646451896732,0.0031
131,asts,4,1,0.0007395884972532765,0.9169
132,asts,1,2,-0.01386801384595693,0.0504
133,asts,2,2,-0.00783835347029564,0.2689
134,asts,3,2,0.015620592408697447,0.0276
135,asts,4,2,-0.015004450554038875,0.0343
136,asts,1,3,-0.012389471565519521,0.0805
137,asts,2,3,-7.272526410087419e-05,0.9918
138,asts,3,3,0.013666196276160114,0.0539
139,asts,4,3,-0.007856196707625721,0.2678
140,asts,1,4,-0.0004409283227671947,0.9504
141,asts,2,4,0.01013111475419801,0.153
142,asts,3,4,0.016846955453543613,0.0175
143,asts,4,4,-0.002510864499476843,0.7232
